epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,lr,elapsed_s
1,0.412354,0.482624,0.351830,0.175954,0.224522,0.096520,0.409224,0.191026,0.324188,0.163167,0.351830,0.175954,1.00e-03,536.0
2,0.233710,0.192658,0.618601,0.686363,0.449333,0.523045,0.649000,0.729381,0.591982,0.648900,0.618601,0.686363,1.00e-03,538.2
3,0.194295,0.254095,0.682150,0.574737,0.518661,0.403540,0.698256,0.620260,0.667388,0.536383,0.682150,0.574737,1.00e-03,538.5
4,0.167512,0.156746,0.724940,0.741455,0.569556,0.589998,0.721937,0.735096,0.728570,0.748508,0.724940,0.741455,1.00e-03,538.4
5,0.153447,0.160830,0.747620,0.733823,0.598056,0.580116,0.740218,0.726556,0.755699,0.741737,0.747620,0.733823,1.00e-03,538.0
6,0.142545,0.138114,0.765571,0.772456,0.621026,0.629806,0.757742,0.763664,0.774040,0.781879,0.765571,0.772456,1.00e-03,537.5
7,0.135696,0.466106,0.776810,0.220069,0.635855,0.123696,0.768314,0.887186,0.785920,0.125686,0.776810,0.220069,1.00e-03,537.6
8,0.132083,0.114072,0.782740,0.813694,0.643869,0.686393,0.774301,0.804842,0.791778,0.823135,0.782740,0.813694,1.00e-03,537.5
9,0.127773,0.121141,0.789791,0.800932,0.653411,0.668391,0.781818,0.792157,0.798376,0.810297,0.789791,0.800932,1.00e-03,537.9
10,0.123682,0.115552,0.796583,0.809977,0.662583,0.681124,0.788991,0.806795,0.804707,0.813586,0.796583,0.809977,1.00e-03,537.6
11,0.121171,0.115624,0.800627,0.809346,0.668256,0.680125,0.793321,0.805040,0.808458,0.814003,0.800627,0.809346,1.00e-03,538.0
12,0.120993,0.124743,0.800976,0.793551,0.668826,0.658163,0.793483,0.783705,0.809064,0.803945,0.800976,0.793551,1.00e-03,537.8
13,0.118006,0.106827,0.805890,0.824635,0.675528,0.702005,0.799091,0.817538,0.813116,0.832165,0.805890,0.824635,1.00e-03,537.7
14,0.113631,0.129287,0.813153,0.786864,0.685706,0.649007,0.808964,0.778350,0.817688,0.795866,0.813153,0.786864,1.00e-03,537.6
15,0.113134,0.236008,0.813932,0.613291,0.686821,0.444008,0.809764,0.660508,0.818468,0.573426,0.813932,0.613291,1.00e-03,538.0
16,0.111904,0.100387,0.815859,0.835024,0.689626,0.717136,0.812132,0.834014,0.819948,0.836324,0.815859,0.835024,1.00e-03,537.4
17,0.110981,0.229136,0.817442,0.622689,0.691873,0.453915,0.814566,0.686685,0.820660,0.570696,0.817442,0.622689,1.00e-03,537.7
18,0.109230,0.104315,0.820433,0.828621,0.696088,0.707748,0.818010,0.827188,0.823153,0.830325,0.820433,0.828621,1.00e-03,537.7
